,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
216,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,4000000.0,Rabat,DH,3,7,1,Bon état,209
217,Vente Appartement Rabat Agdal,Agdal ,0,0,0,1550000.0,Rabat,DH,2,4,1,Bon état,97
218,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,2669000.0,Rabat,DH,3,3,1,Bon état,142
219,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,4250000.0,Rabat,DH,3,8,1,Bon état,218
222,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,2800000.0,Rabat,DH,3,6,1,Bon état,163
223,Vente Appartement Neuf Rabat Hay Riad,Riyad ,0,0,0,2666000.0,Rabat,DH,3,4,1,Bon état,124
224,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,3150000.0,Rabat,DH,3,5,1,Bon état,169
225,Vente Appartement Rabat Agdal,Haut Agdal ,0,0,0,3350000.0,Rabat,DH,3,6,1,Bon état,200
226,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,4500000.0,Rabat,DH,3,6,1,Bon état,207
228,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,3500000.0,Rabat,DH,3,6,1,Bon état,179
229,Vente Appartement Rabat Agdal,Agdal ,0,0,0,3000000.0,Rabat,DH,4,7,1,Bon état,166
230,Vente Appartement Rabat Bas Agdal,Agdal ,0,0,0,4500000.0,Rabat,DH,5,9,1,Bon état,329
231,Vente Appartement Rabat Agdal,Agdal ,0,0,0,1200000.0,Rabat,DH,3,4,1,Bon état,76
232,Vente Appartement Rabat Agdal,Agdal ,0,0,0,2500000.0,Rabat,DH,3,5,1,Bon état,175
233,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,2900000.0,Rabat,DH,3,7,1,Bon état,167
235,Vente Appartement Rabat Agdal,Agdal ,0,0,0,2900000.0,Rabat,DH,3,9,1,Bon état,160
238,Vente Appartement Rabat Agdal,Agdal ,0,0,0,2100000.0,Rabat,DH,2,5,1,Bon état,129
239,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,2700000.0,Rabat,DH,4,6,2,Bon état,127
240,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,2300000.0,Rabat,DH,3,4,1,Bon état,125
241,Vente Appartement Rabat Haut Agdal,Haut Agdal ,0,0,0,2200000.0,Rabat,DH,3,5,2,Bon état,125
243,Vente Appartement Rabat Souissi Orangeraie,Souissi ,0,0,0,4700000.0,Rabat,DH,3,6,2,Bon état,189
244,Opportunités a ne pas rater villa au prix du terrain,Souissi ,0,0,0,7600000.0,Rabat,DH,4,5,6,À rénover,2500
245,Appartement de haut standing pres de decart,Haut Agdal ,0,0,0,3000000.0,Rabat,DH,3,6,3,Bon état,160
246,Appartement de haut standing hay ryad,Riyad ,0,0,0,2500000.0,Rabat,DH,3,4,3,Bon état,134
247,Vente Palais Rabat Souissi,Souissi ,0,0,0,120000000.0,Rabat,DH,10,22,5,Bon état,2950
248,Vente Immeuble Rabat Hassan,Hassan - Centre Ville ,0,0,0,20000000.0,Rabat,DH,2,29,1,Bon état,402
249,Magnifique Appartement à vendre à Prestigia,Riyad ,0,0,0,2700000.0,Rabat,DH,3,5,2,Bon état,168
250,Appartement de luxe à vendre sans vis à vis Agdal,Agdal ,0,0,0,3000000.0,Rabat,DH,3,4,2,Bon état,146
251,Appartement à Prestigia,Riyad ,0,0,0,2700000.0,Rabat,DH,3,5,3,Nouveau,154
253,Appartement de charme à Hassan,Hassan - Centre Ville ,0,0,0,2190000.0,Rabat,DH,1,3,2,Bon état,255
255,Magnifique appartement de 185 m² en plein Agdal,Agdal ,0,0,0,3100000.0,Rabat,DH,4,5,2,Bon état,180
256,STUDIO 45/m2 a vendre a prestigia hay riad,Riyad ,0,0,0,1440000.0,Rabat,DH,1,1,1,Nouveau,45
257,Beau Duplexe sur le haut Agdal pour location,Agdal ,0,0,0,1580000.0,Rabat,DH,3,4,3,Bon état,158
258,Appartement à vendre ou à louer,Agdal ,0,0,0,1200000.0,Rabat,DH,2,1,2,Bon état,74
261,Appartement 1er étage au centre ville,L'Ocean ,0,0,0,,Rabat,,2,3,1,Bon état,99
262,Appartement à vendre à rabat haut agdal,Agdal ,0,0,0,3600000.0,Rabat,DH,3,5,3,Bon état,230
263,Appartement en bon état à vendre,Akkari ,0,0,0,790000.0,Rabat,DH,2,3,1,Bon état,64
264,Appartement meublée à vendre rabat,Guich Oudaya ,0,0,0,950000.0,Rabat,DH,2,3,1,Bon état,60
265,Superbe appartement à vendre à Hay Al Kora. 2 pièces. Grande terrasse,Hay Al Kora ,0,0,0,,Rabat,,2,2,2,Bon état,94
266,Superbe Appart 103m2,Hay Nahda ,0,0,0,1850000.0,Rabat,DH,2,3,2,Nouveau,103
267,Magnifique studio meublé,Haut Agdal ,0,0,0,,Rabat,,1,1,1,Nouveau,30
268,Appartement Ensoleillé Et bien Situé,Hay El Menzah ,0,0,0,1040000.0,Rabat,DH,3,4,2,Bon état,111
269,Somptueuse villa à vendre à Souissi. 15 pièces,Souissi ,0,0,0,10000000.0,Rabat,DH,8,15,9,À rénover,2204
270,Appartement 111m²,Hay El Menzah ,0,0,0,1050000.0,Rabat,DH,3,6,1,Bon état,111
